symbol,utctime,unixtime,open,high,low,close,volume
DOGEUSDT,05/07/2019 12:00:00,1562328000,0.00449,0.0046,0.00376,0.0039249,949430724.00000000
DOGEUSDT,05/07/2019 13:00:00,1562331600,0.0039153,0.0039284,0.003765,0.0038353,159004267.00000000
DOGEUSDT,05/07/2019 14:00:00,1562335200,0.003845,0.00392,0.0038139,0.0038413,105517060.00000000
DOGEUSDT,05/07/2019 15:00:00,1562338800,0.0038373,0.0038689,0.00371,0.0037379,100804728.00000000
DOGEUSDT,05/07/2019 16:00:00,1562342400,0.0037276,0.0037338,0.0036364,0.0036664,120261079.00000000
DOGEUSDT,05/07/2019 17:00:00,1562346000,0.003659,0.00368,0.00355,0.0036276,148274922.00000000
DOGEUSDT,05/07/2019 18:00:00,1562349600,0.0036216,0.0037306,0.0035792,0.00364,58947455.00000000
DOGEUSDT,05/07/2019 19:00:00,1562353200,0.0036388,0.0037236,0.0036353,0.0036881,73100952.00000000
DOGEUSDT,05/07/2019 20:00:00,1562356800,0.0036883,0.0037383,0.0036237,0.0037109,42377075.00000000
DOGEUSDT,05/07/2019 21:00:00,1562360400,0.0037109,0.003779,0.0036767,0.0037101,45786507.00000000
DOGEUSDT,05/07/2019 22:00:00,1562364000,0.0037111,0.0037788,0.00369,0.0037431,48592477.00000000
DOGEUSDT,05/07/2019 23:00:00,1562367600,0.0037431,0.0038736,0.0037133,0.0038701,76200414.00000000
DOGEUSDT,06/07/2019 00:00:00,1562371200,0.0038741,0.0039426,0.0037637,0.0038186,130154065.00000000
DOGEUSDT,06/07/2019 01:00:00,1562374800,0.0038187,0.0038427,0.003704,0.0037471,68745344.00000000
DOGEUSDT,06/07/2019 02:00:00,1562378400,0.0037394,0.0038118,0.0037108,0.0037404,51788682.00000000
DOGEUSDT,06/07/2019 03:00:00,1562382000,0.0037404,0.00377,0.003715,0.003767,28422320.00000000
DOGEUSDT,06/07/2019 04:00:00,1562385600,0.0037674,0.0038127,0.003742,0.0037449,33717584.00000000
DOGEUSDT,06/07/2019 05:00:00,1562389200,0.0037449,0.0037597,0.0037,0.003707,20738223.00000000
DOGEUSDT,06/07/2019 06:00:00,1562392800,0.0037039,0.0037618,0.0036236,0.0036409,54474451.00000000
DOGEUSDT,06/07/2019 07:00:00,1562396400,0.0036475,0.0037272,0.00361,0.0036599,42249950.00000000
DOGEUSDT,06/07/2019 08:00:00,1562400000,0.00367,0.0036854,0.0036193,0.0036193,32272997.00000000
DOGEUSDT,06/07/2019 09:00:00,1562403600,0.0036193,0.0036917,0.0036104,0.0036387,23635872.00000000
